NBDATASETS	PROJECT	STREAM	PRODSTEP	DATATYPE	PROVENANCE	IDTOGROUP(GROUPID)	MEANNBFILES	MEANFILESIZE	ROUND(SUM(REPLICAS)/COUNT(*))
86	data12_8TeV	calibration_beamspot	daq	RAW	T0	/atlas/role=production	116	135455188149	1
284	data12_8TeV	physics_Muons	merge	NTUP_EMBHHDN	GP	/atlas/phys-higgs/role=production	140	3813913880	1
657	data12_8TeV	physics_Egamma	merge	NTUP_JETMET	GP	/atlas/perf-jets/role=production	118	337113385077	2
95	data12_8TeV	calibration_PixelNoise	daq	RAW	T0	/atlas/role=production	59	5472723197	1
117	data12_8TeV	physics_JetTauEtmiss	merge	log	GP	/atlas/perf-flavtag/role=production	339	801863448	1
339	data12_8TeV	physics_Egamma	merge	log	GP	/atlas/phys-susy/role=production	121	1671411713	1
763	data12_8TeV	physics_Egamma	merge	NTUP_ZPRIMEEE	GP	/atlas/phys-exotics/role=production	22	9889980381	2
331	data12_8TeV	physics_Background	recon	ESD	T0	/atlas/role=production	400	170518521590	2
88	data12_8TeV	physics_MinBias	merge	DESD_MBIAS	T0	/atlas/role=production	30	78553506338	4
82	data12_8TeV	physics_JetTauEtmiss	merge	AOD	T0	/atlas/role=production	333	1074001378621	5
290	data12_8TeV	physics_Muons	merge	NTUP_TPHSG2	GP	/atlas/phys-higgs/role=production	2	4998257428	2
234	data12_8TeV	physics_Muons	merge	DESD_SGLMU	T0	/atlas/role=production	138	420407639440	3
233	data12_8TeV	physics_Egamma	recon	DESD_ZEE	AP	/atlas/role=production	28	67319878460	1
1012	data12_8TeV	physics_Background	merge	TAG	T0	/atlas/role=production	1	20630475	6
429	data12_8TeV	physics_ZeroBias	merge	AOD	T0	/atlas/role=production	17	3388499521	2
60	data12_8TeV	debugrec_hltacc	merge	RAW	T0	/atlas/role=production	1	43909975	2
469	data12_8TeV	physics_CosmicMuons	merge	TAG	AP	/atlas/role=production	2	903673	1
803	data12_8TeV	physics_Egamma	merge	NTUP_SMWENU	GP	/atlas/phys-sm/role=production	39	11078292671	1
481	data12_8TeV	physics_Muons	merge	TAG	AP	/atlas/role=production	34	1339410415	1
245	data12_8TeV	physics_Standby	recon	log	AP	/atlas/role=production	259	529481009	1
153	data12_8TeV	physics_JetTauEtmiss	merge	log	GP	/atlas/perf-jets/role=production	137	69427771	1
91	data12_8TeV	debugrec_hltrej	merge	NTUP_TRIG	T0	/atlas/role=production	1	9652570	1
596	data12_8TeV	physics_Background	merge	NTUP_TRIG	T0	/atlas/role=production	16	1259755881	1
291	data12_8TeV	physics_JetTauEtmiss	merge	TAG	T0	/atlas/role=production	3	651795091	11
26	data12_8TeV	physics_Standby	recon	ESD	AP	/atlas/role=production	338	522115848596	1
253	data12_8TeV	physics_Muons	recon	ESD	T0	/atlas/role=production	2248	5355229829911	1
429	data12_8TeV	physics_ZeroBias	merge	TAG	T0	/atlas/role=production	1	4647831	7
286	data12_8TeV	physics_Muons	recon	AOD_EMBLHDN	GP	/atlas/phys-higgs/role=production	140	6903234292	2
286	data12_8TeV	physics_Muons	recon	AOD_EMBLHUP	GP	/atlas/phys-higgs/role=production	140	6902941609	2
286	data12_8TeV	physics_Muons	recon	AOD_EMBLLUP	GP	/atlas/phys-higgs/role=production	140	6913916983	2
418	data12_8TeV	express_express	merge	NTUP_TRIG	T0	/atlas/role=production	69	5608118581	1
216	data12_8TeV	calibration_PixelBeam	merge	AOD	T0	/atlas/role=production	98	283000164353	2
250	data12_8TeV	physics_Egamma	merge	DAOD_4LHSG2	GP	/atlas/phys-higgs/role=production	58	27796042016	1
281	data12_8TeV	physics_MinBias	merge	DESD_MBIAS	T0	/atlas/role=production	21	54069809366	3
735	data12_8TeV	physics_Muons	merge	NTUP_WPRIMEMN	GP	/atlas/phys-exotics/role=production	19	6343861521	3
250	data12_8TeV	physics_Muons	merge	TAG	T0	/atlas/role=production	3	577538736	12
6	data12_8TeV	physics_Egamma	recon	ESD	T0	/atlas/role=production	4256	5959617567579	2
93	data12_8TeV	physics_Muons	merge	NTUP_FASTMON	T0	/atlas/role=production	16	7787390	1
